DATE,GEPUCURRENT
1997-01-01,76.90646913349579
1997-02-01,79.42518211657317
1997-03-01,68.60120389589264
1997-04-01,73.8007212602914
1997-05-01,71.8747486489303
1997-06-01,78.73848416023473
1997-07-01,64.2665865913375
1997-08-01,63.37651623915816
1997-09-01,67.27787876708673
1997-10-01,81.50192160950614
1997-11-01,95.2686023905331
1997-12-01,106.74994967491888
1998-01-01,98.4885505543422
1998-02-01,85.8504943404994
1998-03-01,87.4413474611279
1998-04-01,78.9919988296943
1998-05-01,85.12691333722582
1998-06-01,84.63397824860546
1998-07-01,101.26426450275679
1998-08-01,114.54875000228476
1998-09-01,142.37487138472335
1998-10-01,118.3096003837444
1998-11-01,96.74918143740184
1998-12-01,91.48543135268976
1999-01-01,96.87048708388294
1999-02-01,80.48214559861881
1999-03-01,64.83910542538108
1999-04-01,63.34270916761598
1999-05-01,70.47968370392638
1999-06-01,72.0804794820426
1999-07-01,72.46737065059578
1999-08-01,62.1522122465297
1999-09-01,66.7739334089045
1999-10-01,65.27811923363159
1999-11-01,68.15165996371776
1999-12-01,60.509432168339984
2000-01-01,63.60333854142368
2000-02-01,58.70227753863406
2000-03-01,61.315947028118096
2000-04-01,64.55414196430918
2000-05-01,87.11631724679684
2000-06-01,88.40175353565127
2000-07-01,65.29975150381338
2000-08-01,54.31545758045933
2000-09-01,60.978452955793145
2000-10-01,68.96467570070448
2000-11-01,109.23667030988427
2000-12-01,102.68477966058532
2001-01-01,100.36777252582878
2001-02-01,100.58912119418206
2001-03-01,113.43545059134152
2001-04-01,109.87011128867319
2001-05-01,84.88320428666708
2001-06-01,74.08381024378798
2001-07-01,100.07461295403992
2001-08-01,85.28314023767643
2001-09-01,179.8469753708001
2001-10-01,170.8693422363401
2001-11-01,126.15064841582314
2001-12-01,107.73481192805492
2002-01-01,106.97424501317232
2002-02-01,89.90005424650893
2002-03-01,78.78173985490534
2002-04-01,83.71370736278116
2002-05-01,79.4286858001982
2002-06-01,94.72896904040057
2002-07-01,100.61792046739264
2002-08-01,107.52548872760256
2002-09-01,123.11000486678738
2002-10-01,117.63021305356867
2002-11-01,122.3796545620783
2002-12-01,118.59846707113932
2003-01-01,127.1250267424851
2003-02-01,135.08866195295772
2003-03-01,167.74916843195524
2003-04-01,134.79705422151255
2003-05-01,105.89302018839048
2003-06-01,90.0495024473392
2003-07-01,79.71167371955435
2003-08-01,69.10161021398636
2003-09-01,81.2809463507428
2003-10-01,76.26289278434079
2003-11-01,73.04034018644495
2003-12-01,70.87728519252262
2004-01-01,72.2769460830381
2004-02-01,71.11543596937355
2004-03-01,78.16573144104045
2004-04-01,75.73954006702779
2004-05-01,90.80693904186151
2004-06-01,76.72087520906474
2004-07-01,73.58695015331415
2004-08-01,68.77437459584944
2004-09-01,79.16676748976967
2004-10-01,88.63228549571596
2004-11-01,84.36220777012682
2004-12-01,64.89983863668294
2005-01-01,57.59796042658236
2005-02-01,54.22967120813469
2005-03-01,54.131460397855086
2005-04-01,68.3345764804746
2005-05-01,69.40019821507595
2005-06-01,70.33515934357918
2005-07-01,61.278628383708956
2005-08-01,61.751081150205266
2005-09-01,93.47438171523002
2005-10-01,64.22569071162494
2005-11-01,67.34290697533535
2005-12-01,61.14838693689175
2006-01-01,68.65703931429894
2006-02-01,57.76750012813419
2006-03-01,58.463297404704065
2006-04-01,72.8633573194862
2006-05-01,63.06332458822899
2006-06-01,73.05769257583708
2006-07-01,67.45528929201316
2006-08-01,57.59035268407542
2006-09-01,59.28627726852269
2006-10-01,59.90907388603569
2006-11-01,57.38223276776798
2006-12-01,56.611693092700385
2007-01-01,64.94305217006979
2007-02-01,54.52969084494268
2007-03-01,63.71622227103764
2007-04-01,59.94189442428935
2007-05-01,55.84593443521435
2007-06-01,56.61396524502402
2007-07-01,48.875153149523534
2007-08-01,76.57867868172714
2007-09-01,99.1934678221891
2007-10-01,79.07797824693164
2007-11-01,83.91764052960656
2007-12-01,94.47497711063295
2008-01-01,134.43395777836366
2008-02-01,101.80066903682355
2008-03-01,117.13937608699325
2008-04-01,91.67050388660621
2008-05-01,77.2779713431497
2008-06-01,87.88069984702938
2008-07-01,93.76611268884294
2008-08-01,90.10770417193456
2008-09-01,167.6756649642676
2008-10-01,204.58769184920587
2008-11-01,143.1485254204101
2008-12-01,146.40370670877903
2009-01-01,146.84340391840186
2009-02-01,149.46519135956692
2009-03-01,132.8280454594149
2009-04-01,104.07555818276971
2009-05-01,103.648839090654
2009-06-01,109.30295647774788
2009-07-01,101.3783118784004
2009-08-01,98.34276950535643
2009-09-01,100.15560129422985
2009-10-01,86.33630621206889
2009-11-01,99.38112354902579
2009-12-01,98.7892935816951
2010-01-01,112.96584172985548
2010-02-01,111.31272032241674
2010-03-01,106.72792371843387
2010-04-01,103.24777700190998
2010-05-01,147.3914919161098
2010-06-01,133.57442140403109
2010-07-01,141.05366295619737
2010-08-01,120.87949519097302
2010-09-01,133.1067881797674
2010-10-01,122.15598335177866
2010-11-01,127.1981108855
2010-12-01,129.45812325907133
2011-01-01,110.18199845308042
2011-02-01,93.20483839310154
2011-03-01,125.95275527772465
2011-04-01,114.64199452007549
2011-05-01,88.69207400791625
2011-06-01,117.02780292156565
2011-07-01,155.2873761433588
2011-08-01,214.36155147019463
2011-09-01,190.95771842939862
2011-10-01,165.13050467941756
2011-11-01,197.57413430173753
2011-12-01,181.42546551234898
2012-01-01,160.90784684437637
2012-02-01,141.6225510874102
2012-03-01,134.29236117563013
2012-04-01,126.48387193706279
2012-05-01,159.53546416873536
